"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2012-06",2012-02-06,2012-02-12,"Aosta Valley",2,45.73750286,7.320149366,4,76,5503,"13.81",13,"33.59",10,"18.48",36,"11.16",17,"12.61"
"2012-06",2012-02-06,2012-02-12,"Lombardy",3,45.46679409,9.190347404,136,1501,190177,"7.89",287,"19.42",357,"13.65",731,"6.69",126,"3.16"
"2012-06",2012-02-06,2012-02-12,"AP Bolzano",21,46.49933453,11.35662422,10,109,17057,"6.39",21,"34.71",28,"11.95",57,"5.24",3,"0.93"
"2012-06",2012-02-06,2012-02-12,"AP Trento",22,46.06893511,11.12123097,12,230,16048,"14.33",51,"45.9",52,"18.42",109,"11.93",18,"6.04"
"2012-06",2012-02-06,2012-02-12,"Veneto",5,45.43490485,12.33845213,78,1177,101385,"11.61",239,"34.78",258,"19.07",577,"9.78",103,"4.68"
"2012-06",2012-02-06,2012-02-12,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,16,128,21147,"6.05",41,"20.29",39,"11.23",41,"3.7",7,"1.53"
"2012-06",2012-02-06,2012-02-12,"Liguria",7,44.41149315,8.9326992,38,278,44681,"6.22",48,"18.96",73,"16.04",134,"5.17",23,"1.97"
"2012-06",2012-02-06,2012-02-12,"Emilia Romagna",8,44.49436681,11.3417208,71,910,93888,"9.69",180,"22.42",161,"11.1",504,"9.78",65,"3.28"
"2012-06",2012-02-06,2012-02-12,"Tuscany",9,43.76923077,11.25588885,45,384,57809,"6.64",53,"16.61",83,"12.48",201,"5.83",47,"3.48"
"2012-06",2012-02-06,2012-02-12,"Umbria",10,43.10675841,12.38824698,11,107,13261,"8.07",25,"20.02",44,"17.98",33,"4.91",5,"1.76"
"2012-06",2012-02-06,2012-02-12,"Marche",11,43.61675973,13.5188753,23,422,27222,"15.5",116,"29.39",148,"21.72",122,"10.22",36,"7.95"
"2012-06",2012-02-06,2012-02-12,"Lazio",12,41.89277044,12.48366722,70,1002,90516,"11.07",176,"29.97",209,"18.38",551,"9.9",66,"3.75"
"2012-06",2012-02-06,2012-02-12,"Abruzzo",13,42.35122196,13.39843823,19,167,17629,"9.47",69,"26.33",51,"10.62",32,"4.33",15,"5.34"
"2012-06",2012-02-06,2012-02-12,"Molise",14,41.55774754,14.5916051,10,82,12467,"6.58",9,"11.8",15,"14.37",45,"6.23",13,"3.78"
